customer_id,age,gender,region,segment,acquisition_channel,join_year,loyalty_points,email_opt_in
C00287,38,Male,South,Regular,Email,2024,161,True
C00288,23,Female,Southwest,Occasional,Referral,2021,113,False
C00289,30,Male,South,New,Social Media,2024,39,True
C00290,33,Male,South,New,Referral,2022,129,True
C00291,24,Male,West,New,Social Media,2024,288,False
C00292,34,Non-binary/Other,West,Regular,Social Media,2024,79,True
C00293,23,Male,West,Regular,Referral,2021,3,True
C00294,25,Male,West,New,Social Media,2024,104,True
C00295,18,Female,Southwest,New,Referral,2024,126,True
C00296,24,Female,Southwest,Regular,Direct,2024,23,True
C00297,33,Female,Midwest,Occasional,Organic Search,2021,2,True
C00298,41,Female,West,New,Social Media,2024,178,True
C00299,44,Male,Northeast,Regular,Email,2023,21,False
C00300,54,Male,South,Champion,Display Ad,2022,2062,True
C00301,32,Male,Midwest,Occasional,Organic Search,2024,47,True
C00302,31,Male,Northeast,Regular,Organic Search,2023,58,True
C00303,25,Female,Midwest,New,Social Media,2024,3,True
C00304,31,Female,Southwest,Loyal,Social Media,2022,1059,True
C00305,25,Female,Southwest,New,Organic Search,2023,39,False
C00306,38,Male,Southwest,Loyal,Organic Search,2023,868,False
C00307,39,Male,West,Loyal,Display Ad,2023,543,True
C00308,30,Female,Northeast,Regular,Paid Search,2023,30,False
C00309,42,Female,Midwest,Occasional,Social Media,2024,195,True
C00310,48,Male,Midwest,Loyal,Direct,2023,34,True
C00311,27,Female,Southwest,New,Display Ad,2022,3,True
C00312,33,Female,West,Regular,Referral,2022,149,True
C00313,22,Female,Northeast,Occasional,Email,2022,128,False
C00314,45,Male,South,Loyal,Paid Search,2024,231,True
C00315,43,Female,Southwest,Occasional,Organic Search,2022,33,True
C00316,52,Female,South,New,Display Ad,2023,5,True
C00317,39,Male,Northeast,Occasional,Referral,2022,48,True
C00318,40,Male,South,New,Social Media,2023,265,True
C00319,27,Male,South,New,Direct,2022,49,True
C00320,35,Non-binary/Other,Southwest,Loyal,Social Media,2021,1096,True
C00321,37,Male,Northeast,Loyal,Direct,2022,83,True
C00322,35,Female,South,Occasional,Social Media,2023,28,True
C00323,26,Non-binary/Other,Northeast,New,Social Media,2022,14,True
C00324,37,Female,Northeast,Champion,Social Media,2022,762,False
C00325,40,Female,Northeast,Occasional,Direct,2023,51,True
C00326,22,Female,South,New,Referral,2024,60,False
C00327,25,Male,Midwest,New,Email,2023,279,False
C00328,34,Female,Midwest,Occasional,Email,2021,26,True
C00329,36,Female,South,Regular,Direct,2023,315,True
C00330,18,Female,Southwest,Loyal,Social Media,2023,111,True
C00331,47,Male,South,Loyal,Social Media,2024,15,False
C00332,26,Female,Southwest,New,Referral,2023,102,True
C00333,20,Male,West,New,Referral,2024,0,False
C00334,23,Male,South,Regular,Organic Search,2024,33,True
C00335,31,Female,West,New,Paid Search,2024,6,True
C00336,35,Male,South,Occasional,Referral,2021,132,False
C00337,28,Male,Midwest,New,Paid Search,2022,22,True
C00338,32,Female,Northeast,New,Paid Search,2023,26,False
C00339,47,Female,West,Champion,Organic Search,2022,511,False
C00340,33,Female,West,Regular,Display Ad,2022,55,True
C00341,29,Male,Northeast,Regular,Referral,2023,138,False
C00342,36,Male,Midwest,Regular,Email,2023,54,True
C00343,23,Male,West,New,Paid Search,2023,122,True
C00344,36,Female,West,Regular,Referral,2024,22,False
C00345,29,Female,Northeast,Occasional,Email,2022,124,False
C00346,25,Male,Northeast,Occasional,Social Media,2024,7,True
C00347,44,Male,Southwest,Occasional,Direct,2023,166,True
C00348,18,Female,West,New,Referral,2021,25,True
C00349,18,Female,Midwest,Regular,Referral,2024,117,True
C00350,37,Female,Northeast,Loyal,Display Ad,2022,635,True
C00351,44,Female,Southwest,Loyal,Paid Search,2023,251,False
C00352,38,Non-binary/Other,Northeast,New,Direct,2023,91,True
C00353,43,Female,Southwest,Regular,Paid Search,2023,1,True
C00354,36,Male,Midwest,Occasional,Social Media,2021,54,True
C00355,31,Non-binary/Other,Northeast,Occasional,Paid Search,2023,90,True
C00356,38,Female,Midwest,Loyal,Email,2023,67,True
C00357,36,Male,Southwest,Loyal,Organic Search,2022,741,True
C00358,33,Male,South,Occasional,Direct,2022,83,False
C00359,43,Male,Northeast,Loyal,Social Media,2023,619,False
C00360,40,Male,Northeast,Regular,Paid Search,2023,69,False
C00361,45,Female,West,New,Organic Search,2023,20,True
C00362,31,Female,Southwest,New,Social Media,2023,12,False
C00363,47,Male,Northeast,Regular,Referral,2022,27,True
C00364,29,Male,West,Loyal,Paid Search,2023,3,True
C00365,19,Female,Southwest,Occasional,Referral,2023,25,False
C00366,33,Male,South,Occasional,Referral,2023,159,True
C00367,31,Female,Northeast,Loyal,Email,2024,1617,True
C00368,44,Female,Midwest,Champion,Referral,2024,421,True
C00369,26,Non-binary/Other,Northeast,Occasional,Email,2023,125,False
C00370,42,Female,Midwest,Champion,Paid Search,2024,707,True
C00371,24,Female,South,Occasional,Email,2023,66,False
C00372,38,Male,Southwest,Occasional,Email,2021,208,True
C00373,29,Female,South,Regular,Referral,2024,44,True
C00374,23,Male,West,Occasional,Referral,2023,40,False
C00375,30,Female,West,Champion,Display Ad,2023,430,True
C00376,25,Female,South,Loyal,Paid Search,2022,534,True
C00377,18,Male,West,New,Referral,2021,161,True
C00378,41,Male,South,Champion,Direct,2023,363,False
C00379,34,Female,Southwest,New,Referral,2024,121,True
C00380,29,Female,West,Occasional,Social Media,2022,72,True
C00381,23,Female,South,Regular,Display Ad,2024,32,True
C00382,30,Male,West,Loyal,Organic Search,2023,387,True
C00383,37,Non-binary/Other,Southwest,Occasional,Direct,2021,46,False
C00384,18,Male,South,New,Display Ad,2022,81,True
C00385,41,Male,South,Regular,Referral,2024,10,True
C00386,42,Male,Southwest,Champion,Referral,2022,446,True
C00387,42,Female,West,New,Organic Search,2022,243,True
C00388,31,Male,West,New,Social Media,2023,113,True
C00389,18,Female,South,Occasional,Referral,2024,203,True
C00390,36,Male,South,Regular,Organic Search,2024,17,True
C00391,40,Female,West,Occasional,Organic Search,2023,38,True
C00392,45,Male,South,Loyal,Social Media,2023,913,True
C00393,34,Female,South,Regular,Referral,2022,63,False
C00394,31,Female,Southwest,New,Referral,2023,64,True
C00395,19,Female,Southwest,New,Display Ad,2024,30,False
C00396,29,Female,Northeast,Loyal,Email,2024,103,True
C00397,29,Male,Northeast,Occasional,Referral,2024,74,True
C00398,21,Male,Southwest,Occasional,Social Media,2021,4,True
C00399,52,Male,South,Champion,Referral,2023,459,False
C00400,41,Female,Midwest,Occasional,Referral,2024,58,True
C00401,39,Female,West,Champion,Organic Search,2023,212,True
C00402,20,Female,Midwest,New,Email,2022,63,True
C00403,18,Male,West,New,Referral,2024,95,True
C00404,30,Female,South,New,Referral,2023,23,True
C00405,22,Female,Southwest,Regular,Email,2022,234,True
C00406,35,Female,Southwest,New,Social Media,2024,118,True
C00407,33,Female,West,Occasional,Email,2022,224,True
C00408,30,Female,West,Regular,Paid Search,2023,0,True
C00409,30,Male,Southwest,New,Social Media,2022,102,True
C00410,36,Female,Midwest,Regular,Paid Search,2023,100,True
C00411,30,Male,West,New,Referral,2021,25,True
C00412,32,Female,Midwest,New,Organic Search,2023,89,True
C00413,44,Female,Southwest,Champion,Referral,2024,253,True
C00414,31,Male,Midwest,New,Organic Search,2024,202,True
C00415,25,Female,South,Occasional,Direct,2024,42,False
C00416,23,Female,Midwest,Regular,Email,2024,12,False
C00417,43,Male,Southwest,Occasional,Social Media,2023,54,False
C00418,28,Male,Midwest,New,Organic Search,2023,24,True
C00419,34,Female,South,New,Email,2024,27,True
C00420,30,Female,Southwest,New,Direct,2023,34,False
C00421,42,Male,Midwest,Loyal,Organic Search,2024,352,False
C00422,35,Male,South,Loyal,Direct,2021,349,True
C00423,45,Female,West,Loyal,Display Ad,2024,471,True
C00424,38,Female,Southwest,Regular,Organic Search,2022,107,False
C00425,26,Male,South,Occasional,Paid Search,2023,170,True
C00426,42,Male,Midwest,Regular,Email,2023,29,True
C00427,21,Female,South,New,Direct,2023,42,False
C00428,28,Male,Midwest,Loyal,Organic Search,2023,113,True
C00429,29,Female,Southwest,Occasional,Direct,2024,32,True
C00430,35,Male,West,Regular,Social Media,2022,18,True
C00431,31,Female,Midwest,Occasional,Email,2023,170,False
C00432,28,Female,West,Regular,Social Media,2023,10,True
C00433,42,Female,South,Occasional,Direct,2022,42,True
C00434,28,Male,Northeast,New,Display Ad,2022,62,False
C00435,23,Female,Northeast,New,Direct,2022,65,True
C00436,29,Male,South,New,Display Ad,2022,36,True
C00437,45,Male,West,Regular,Organic Search,2021,0,False
C00438,45,Male,West,Loyal,Paid Search,2023,397,True
C00439,41,Male,Northeast,Occasional,Direct,2021,39,True
C00440,38,Male,South,Occasional,Direct,2022,84,False
C00441,26,Female,South,Regular,Organic Search,2023,22,True
C00442,35,Female,West,Occasional,Paid Search,2024,95,True
C00443,46,Female,South,Loyal,Referral,2022,689,True
C00444,36,Female,Southwest,Occasional,Social Media,2024,72,True
C00445,39,Male,Northeast,Regular,Paid Search,2023,96,True
C00446,37,Male,Southwest,Occasional,Direct,2021,175,False
C00447,37,Male,Southwest,Regular,Display Ad,2022,444,False
C00448,41,Female,South,Loyal,Email,2022,1167,False
C00449,57,Male,South,Loyal,Email,2022,1111,False
C00450,22,Male,Southwest,Occasional,Social Media,2021,1,True
C00451,29,Female,Midwest,Loyal,Social Media,2021,1393,True
C00452,40,Male,Southwest,Occasional,Display Ad,2022,105,True
C00453,41,Male,Midwest,New,Display Ad,2024,77,True
C00454,46,Female,West,Occasional,Paid Search,2022,100,True
C00455,43,Male,South,New,Direct,2023,79,True
C00456,30,Male,South,Regular,Organic Search,2024,80,True
C00457,24,Female,Midwest,New,Email,2023,92,True
C00458,42,Male,Northeast,New,Referral,2023,192,True
C00459,42,Female,Midwest,Champion,Social Media,2024,449,True
C00460,35,Male,West,New,Email,2021,170,False
C00461,38,Male,Southwest,Regular,Display Ad,2024,27,False
C00462,38,Female,West,Champion,Display Ad,2021,939,True
C00463,34,Male,South,Occasional,Paid Search,2024,5,True
C00464,30,Male,Midwest,New,Email,2023,46,True
C00465,45,Male,Midwest,Champion,Display Ad,2022,227,True
C00466,22,Male,Northeast,Occasional,Display Ad,2024,119,True
C00467,37,Female,Southwest,Champion,Referral,2024,758,True
C00468,29,Male,West,Occasional,Organic Search,2021,49,True
C00469,37,Female,Midwest,Loyal,Social Media,2023,2400,True
C00470,22,Male,Southwest,New,Organic Search,2021,115,False
C00471,18,Female,South,New,Email,2023,35,False
C00472,47,Male,West,Occasional,Referral,2022,186,False
C00473,51,Female,Northeast,Loyal,Email,2023,402,True
C00474,35,Female,Northeast,Regular,Direct,2021,26,True
C00475,23,Non-binary/Other,West,New,Referral,2024,37,False
C00476,38,Female,Southwest,Occasional,Display Ad,2021,32,False
C00477,29,Female,Northeast,New,Direct,2023,78,True
C00478,18,Male,Northeast,New,Organic Search,2022,64,True
C00479,29,Female,Southwest,New,Display Ad,2024,0,False
C00480,39,Female,West,Regular,Referral,2023,617,False
C00481,28,Male,West,Occasional,Social Media,2021,76,False
C00482,35,Male,Northeast,Occasional,Referral,2023,64,True
C00483,25,Female,West,Loyal,Organic Search,2021,104,False
C00484,32,Male,South,Regular,Social Media,2023,67,True
C00485,37,Female,Midwest,New,Referral,2024,1,False
C00486,33,Male,South,Occasional,Organic Search,2023,32,True
